Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
1,Y,MicroscopeStand-Abstract Parent Element (APE),,,,,,"The core structure of this Microscope, which might also be referred to as Body, Frame, or Platform.",Substitution : choose one of the children elements from the list below,"InvertedMicroscope, UprightMicroscope",ΜanufactuerSpecs extension base,1 ... ∞,,same,0 ..1,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,Type,,,,,"The general category to which this Microscope belongs. Options include a Compound Microscope is a Microscope in which the primary image is generated by an objective or an objective and a tube-lens, and in which the Sample is observed through an eyepiece. A Custom Microscope is specially designed for specialized purposes. An Electrophysiology Microscope is a Microscope dedicated to electrophysiological observation and manipulation. A Lightsheet Microscope is a Microscope in which in contrast to epifluorescence microscopy only a thin slice (usually a few hundred nanometers to a few micrometers) of the sample is illuminated perpendicularly to the direction of observation. A Stereo Microscope (also known as Dissecting Microscope) is a low-power, binocular Microscope with long free working distance used for dissecting. Generally in this type of Microscope the object is observed by each eye from a slightly different angle, thus causing stereoscopic perception. ",enum,"Compound, Custom made, Dissection, Electrophysiology, Light sheet, Stereomicroscope, Other",MicroscopeType,R,,same,,enum
1,Y,,Origin,,,,,"This describes the origin of this microscope stand. Specifically it specifies whether this Microscope Stand was purchased from a Commercial vendor and is being used as-is (i.e., Commercial- as is), purchased from a Commercial vendor and subsequently Modified for a specialized application (i.e., Commercial- custom-modified) or entirely Custom-built from scratch (i.e., Custom-built).",enum,"Commercial-as is, Commercial-custom modified, Custom-built",,,,,,
3,,,EyepieceFieldNumber,,,,,The Field Number represents the diaphragm size of the Microscope eyepiece expressed in mm.,float with unit:none,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one)",InvertedMicroscope,,,,This is a Microscope in which the object is observed from beneath the stage. ,,,,,,,,
e,,,,,,,,,,,,,,,,
1,Y,,,UprightMicroscope,,,,This is a Microscope in which the object is observed from above the stage.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Software-APE,,,,,,"This element represents a commercial, or open-source Software, script, macro, plugin or module utilized for any Image Acquisition or Quality Control task related to this Instrument.",Substitution : choose one of the children elements from the list below,"AcquisitionSoftware, CalibrationSoftware, SoftwareModule",,1 … ∞,,,,
1,,,ID,,,,,A Unique Identifier for this component.,SoftwareID,,,R,,,,
1,Y,,Name,,,,,This field records the Name or any other designation the Author uses for this Software.,string,,,R,,,,
1,Y,,Version,,,,,This field records the Version of this Software.,string,,,R,,,,
1,Y,,Developer,,,,,"This field records the Developer(s) of this Software. In case this is a non-commercial, open-source Software, this refers to the name of the individual or consortium who developed the Software. In the case of a commercial Software, this might refer to the Commercial entity but it can also be used to refer to the individual developer, if knonw.",string,,,R,,,,
1,Y,,WebsiteURL,,,,,This field records the URL address of any Website where the Software can be obtained. In case of open-source Software this field should record the URL for the Git repository from which to obtain the source-code.,anyURI,,,R,,,,
2,,,PrimaryPublicationID,,,,,"This field captures the a Unique Identifier  for the Primary Publication describing this Software. Examples include, Digital Object Identifier (DOI), PubMed Central Identifier (PMCID), ArXiv.org ID etc.",string,,,,,,,
2,,,OpenSource,,,,,This records whether this Software is OpenSource (True) or proprietary (False).,boolean,,,,,,,
2,,,Macro,,,,,This field records whether this Software is a Macro or a Scprit (True) or is it a full free-standing program.,boolean,,,,,,,
2,,,Build,,,,,The specific build of this Software.,string,,,,,,,
