Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
2,,,,,,CutOn,,"CutOn is the Wavelength below which the response rate is below 50%. In case a CutOn Wavelength is not available, such as in the case of a ShortPass or Notch configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
2,,,,,,CutOff,,"CutOff is the Wavelength below which the response rate is below 50%. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
3,,,,,,WavelengthProfileFile,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,LightEmittingDiode,,,,"A Light Emitting Diode (LED) is a solid-state semiconductor Light Source that emits light when current flows through it. Electrons in the semiconductor recombine with electron holes, releasing energy in the form of photons. The color of the light (i.e., the energy of the photons) is determined by the energy required for electrons to cross the bandgap of the semiconductor. White light may be obtained by using multiple semiconductors or a layer of light-emitting phosphor on the semiconductor device.",,,,,,same,-,-
2,,,,,Type,,,This field captures the general category of this Light Emitting Diode.,enum,"Collimated, Mounted, Unmounted, Other",LightEmittingDiodeType,R,,,,
1,Y,,,,LEDModule,,,A Light Emitting Diode (LED) Light Source is often composed of multiple modules each with its own Wavelength characteristics. An individual LED module. Multiple of this elements may be used.,Εlement,,,1 ... ∞,,,,
3,,,,,,ProjectionAngle,,This field records the angle at which this LED Module projects the light beam.,float with unit:ProjectionAngleUnit,,,,,,,
1,Y,,,,,IlluminationWavelengthRange,,"A  range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,1 ... ∞,,,,
1,Y,,,,,,IlluminationPower,"This field records the nominal Illumination Power (also known as Power Output or Illumination Intensity) emitted at Peak Wavelength by this Light Source, as advertised by the Manufacturer.",float with unit:IlluminationPowerUnit [default mW],,,R,,,,
2,,,,,,,PeakWavelength,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,WavelengthRange,R,,,,
2,,,,,,,CutOn,"CutOn is the Wavelength below which the response rate is below 50%. In case a CutOn Wavelength is not available, such as in the case of a ShortPass or Notch configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,R,,,,
2,,,,,,,CutOff,"CutOff is the Wavelength below which the response rate is below 50%. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,R,,,,
3,,,,,,,WavelengthProfileFile,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,,,,MultLaserEngine,,,,This describes a Light Source device that contains multiple Lasers built into a single box. This element contains Reference(s) to individual Laser components built separately.,,,,,,,,
2,,,,,SingleMode,,,Whether the output mode of this Multi Laser Engine is single-mode (True) or multi-mode (False).,boolean,,,,,,,
2,,,,,NumberOfLasers,,,This field records the number of Laser lines associated with this  Multi Laser Engine.,integer with unit: none,,,,,,,
3,,,,,OutputPortNumber,,,This field records the number of Light Guide ports used as output by this Multi Laser Engine.,integer with unit: none,,,R,,,,
3,,,,,MultiportSwitchTime,,,This field records the time it takes for this Multi Laser Engine to switch between Laser lines.,float with unit:MultiPortSwitchTime,,,R,,,,
2,,,,,LaserRef,,,This empty element refers to an existing Laser component.,Extension of Reference,,,1 … ∞,,,,
e,e,,,,,,,,,,,,,,,
2,,LightSourceCoupling-APE,,,,,,This element describes the device(s)/method(s) used to couple an available Light Source(s) with this Microscope Stand to transfer light to the specimen. A typical light Microscope has a Light Coupling device for each available Light Source.,Substitution : choose one child from the list below,"FreeBeam, LightGuide",ManufacturerSpecs,0 … ∞,,,,
2,,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
2,,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
2,,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
2,,,ID,,,,,A Unique Identifier for this component.,LightSourceCouplingID,,,R,,,,
2,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,Attenuation,,,,,This field reports a measure of the capacity of this Light Source Coupling device to attenuate the Illumination Power of the light passing through measured at the Peak Wavelength and expressed in dB/km. ,xsd:float,,,R,,,,
3,,,Transmittance,,,,,The maximum amount of light this Light Source Coupling device is capable of transmitting at the Peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.,float with unit:none,,,,,,,
2,,,CouplingLensRef,,,,,This is a reference to a Lens positioned at the connection between this Light Source coupling element and the Microscope Stand.,Extension of Reference,,,0 … 1,,,,
2,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
2,,,"substitution group 
(choose one or more)",LightGuide,,,,"A Light Guide coupling between the Light Source and the Microscope Stand generally consists of a casing enclosing a medium (i.e., typically fiber optic) capable of transferring light from the illuminator to the back of the Microscope Stand.",,,,,,,,
2,,,,,Type,,,This field records the general category of Light Guide used in this case.,enum,"Fiber optics, Liquid, Other",LightGuideType,R,,,,
3,,,,,RefractiveIndex,,,This field records the Refractive Index of the material used to construct this Light Guide.,float with unit:none,,,,,,,
3,,,,,NumericalAperture,,,"The Numerical Aperture (NA) of this device expressed as a floating-point (real) number. NA can be calculated from the Angular Aperture (alpha) using the following formula, NA = n(sin alpha), and is a measure of how much of the incident light actually passes through this device. The larger the angular aperture, the more information this device can transmit. Expected range 0.02 - 1.5.",float with unit:none,,,R,,,,
3,,,,,AcceptanceAngle,,,The angle within which the light beam produced by a Light Source may be coupled with the bound modes of this Light Guide.,float with unit:AcceptanceAngleUnit,,,,,,,
3,,,,,Geometry,,,This field records the cross-section shape of this Light Guide.,enum,"Diffuse Axial, Backlight, Line Light, Ring Light, Spot Light, Other",LightGuideGeometry,,,,,
3,,,,,MaterialName,,,This field records the chemical composition or the non-proprietary trade designation of the material used to construct this Light Guide.,enum,"Borosilicate, Quarz, Silica,  Other",LightGuideMaterialName,,,,,
3,,,,,SingleMode,,,"This field records whether (True) this Light Guide is single-mode. If not (False), then the guide is assumend to be multi-modal.",boolean,,,,,,,
3,,,,,WaveguideMode,,,This field records the transverse mode (or superposition of such modes) that are being imposed by this light guide onto the light wave traversing it. These modes generally follow different propagation constants.,enum,"Transverse electric, Transverse electromagnetic, Transverse magnetic, Hybrid, Other",LightGuideWaveguideMode,,,,,
3,,,,,Diameter,,,This fields records the outer diameter of this Light Guide.,float with unit:DiameterUnit [default mm],,,,,,,
3,,,,,WavelengthRange,,,"This element records a range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
3,,,,,,,PeakWavelength,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,,R,,,,
3,,,,,,,CutOn,"CutOn is the Wavelength below which the response rate is below 50%. In case a CutOn Wavelength is not available, such as in the case of a ShortPass or Notch configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
3,,,,,,,CutOff,"CutOff is the Wavelength below which the response rate is below 50%. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthBounds,,,,,
3,,,,,,,WavelengthProfileFile,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
2,,,,FreeBeam,,,,A Free Beam coupling between the Light Source and the Microscope Stand consists of either a direct mount or an optical path that directs light across free space to the back of the Microscope Stand.,,,,,,,,
2,,,,,DirectMount,,,"Whether light traveling via this Light Source Coupling device from the Light Source to the Microscope Stand travels via a direct mount attached to the Microscope Stand (True), or across an optical path through the air (False).",boolean,,,R,,,,
3,,,,,MountType,,,"In case the DirectMount field is True, this field records the type of Direct Mount utilized to couple the Light Source to this Microscope Stand.",string,,,R,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Objective,,,,,,"The Microscope's Objective lens consists of a lens, its mount, and any associated parts. It is the part of the imaging system, which forms a primary image of the object, either alone or in conjunction with a tube lens. The Objective typically consists of a compound lens consisting of several simple lenses (elements), usually arranged along a common axis.",-,,Manufacturer Specs,1 ... ∞,,same,0 ... ∞,-
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,same,R,LSID
1,Y,,Magnification,,,,,"This field captures the Magnification of the Objective as specified by the Manufacturer - i.e., 60 represents a 60X lens.",float with unit:none,, ,R,,was NominalMagnification,,float
1,Y,,LensNA,,,,,"This field captures the nominal Numerical Aperture (NA) of this Objective as specified by the Manufactuer, expressed as a floating-point (real) number (e.g. 1.27 NA). NA is a number that was defined initially by Abbe to characterize Objectives and Condensers. NA can be calculated by the expression n sin alpha, where n is the Refractive Index of the medium between the Lens and the Sample, and alpha is half the Angular Aperture of the Lens. NA is a measure of how much of the illumination that leaves the specimen actually passes through the Lens. The larger the NA, the more information the lens can transmit. Expected range 0.02 - 1.5.",float with unit:none,,,R,,same,,float
1,Y,,Correction,,,,,"This field captures the type of optical correction (i.e. chromatic correction, or flatness correction, etc.) associated with this Objective.",enum,"Achro, Achromat, Achroplan, Acroplan, Apo, Apochromat, C-Achroplan, EF, Fl, Fluar, Fluor, Fluotar, Lambda, N, Neofluar, NPL, Pl, Plan, Plano, PlanApo, PlanApochromat, PlanFluor, PlanNeofluar, SuperFluor, UPLAN, UPlanApo, UPlanFl, UV, VioletCorrected, Other",ObjectiveCorrection,R,,same,,enum
1,,,ImmersionType,,,,,"According to ISO 10934-1:2002, an Immersion Liquid is a liquid (commonly immersion oil, water or glycerol) specified as suitable for use in the space between the front of an immersion lens and the object NOTE Because the immersion liquid is considered in the computing of corrections to be part of the lens, its refractive index and dispersion (or Abbe number) are critical. Please refer to ISO 8036-1 for more details on Immersion Oil. This field describes the general category of the Immersion Liquid this Objective is designed for, according to the Manufacturer. If the general category is not ""Air"", the actual Immersion Liquid that was used during the Acquisition of a specific Image must be specified in Objective Settings.",enum,"Air, Dipping, Glycerol, Multi, Mineral Oil, Silicone Oil, Water, Other",ImmersionTypeList,,,was Immersion,,enum
2,,,WorkingDistance,,,,,"This field reports the Working Distance of this Objective under normal operating conditions. The Working Distance is the distance (in air, or in the specified immersion liquid) between the front of an Objective and the surface of the cover glass or of the specimen if uncovered.",float with unit:OpticalDistanceUnit; [default mm],,,R,,same,,float
2,,,Iris,,,,,"This field records whether (True) or not (False) the Objective was fitted with an Iris. Manufacturers offer high NA Objectives, which are equipped with an internal Iris Diaphragm that increases image contrast during digital imaging to compensate for image flare artifacts due to light emitted from areas outside the focal plane. Opening or closing the Iris Diaphragm determines the size of the Objective rear aperture yielding a variable NA range between 0.5 and the Objective's upper limit.",boolean,,,R,,same,,boolean
2,,,CalibratedMagnification,,,,,"This field captures the Magnification of the Objective as measured via a calibration process- i.e., '59.987' for a 60x lens.",float with unit:none,,,,,same,,float
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,,,InfinityCorrected,,,,,This field records whether (True) or not (False) this Objective is infinity corrected. An Infinity-corrected Objective is corrected for an infinite sample to primary image distance and needs to be used with a Tube Lens of appropriate focal length to obtains its nominal magnification.,boolean,,,R,,,,
1,Y,,ContrastModulation,,,,,"This field specifies the presence in this Objective of a contrast modulation plate, such as a Phase Ring (Ph1, Ph2, Ph3), a Hoffman modulator, a Varel modulator, or similar.",enum,"None, Ph1, Ph2, Ph3, Hoffman, VAREL, Other",ContrastModulationPlate,R,,,,
1,Y,,DIC,,,,,This field specifies whether (True) the Objective is designed for Differential Interference Contrast (DIC) or not (False). DIC is a contrast modality due to double-beam interference in which two waves that fall on the object plane or image plane are separated laterally by a distance similar to the minimum resolvable distance.,boolean,,,R,,,,
1,Y,,LightType,,,,,"This field specifies whether this Objective is designed for a special Light application (e.g., IR or UV).",enum,"Infrared, Ultraviolet, Visible",ObjectiveLightType,,,,,
2,,,CorrectionCollar,,,,,"This field records whether (True) or not (False) the Objective was fitted with a Correction Collar. When using high NA dry Objectives (NA 0.8 or greater), cover glass thickness variations of only a few micrometers, immersion medium, and temperature changes result in dramatic image degradation due to aberration. To compensate for these errors, the more highly corrected Objectives are equipped with a Correction Collar mechanism, which is provided to adjust the central lens group position to compensate for deviations from correct optical path length due to changes in Cover Glass Thickness, the nature of the Immersion Liquid, different Numerical Apertures, and Temperature.",boolean,,,R,,,,
2,,,CorrectionCollarType,,,,,"This field records the type of Correction Collar with which this Objective is fitted. In case the Objective has more than one Correction Collar please enter ""Multi"" and provide more details in Description.",enum,"Coverglass Thickness, Immersion Liquid, Numerical Aperture, Temperature, Multi",CorrectionCollarTypeList,,,,,
2,,,DippingMedium,,,,,"In case the Immersion Type for this Objective is designated as ""Dipping"", this field captures the type of Dipping Medium this Objective is compatible with. Examples include, water-based (biological buffers, culture media, other water-based solutions) organic-based [FocusClear (CLARITY); CUBIC-1, CUBIC-2, CUBIC-R1, CUBIC-R2; 2,2-thiodiethanol (TDE); ethyl cinnamate; Benzyl Benzoate and BB-PEG (PEGASOS); Benzyl Alcohol, Benzyl Benzoate (BABB); dibenzyl ether (DBE); 100% Ethanol].",enum,"Orgnic-based, Water-based, Other
",DippingType,,,,,
2,,,PhaseContrastDesignation,,,,,"If the Objective is designed for Phase, this field specifies the Phase Contrast designation of the Phase Plate found in this Objective (see: https://www.microscopyu.com/techniques/phase-contrast/phase-contrast-Microscope-configuration). This designation has to match the Phase Number of the Phase Ring associated with the front focal plane of the Condenser.",enum,"Phase, PHACO, PC, PhL, Ph1, Ph2, Ph3, Ph4, DL, DLL, DM, ADL, PL, PLL, PM, PH, NL, NM, BM, NH",PhaseContrastDesignationType,,,,,
3,,,ObjectiveViewField,,,,,"This field records the maximal diameter of the view field allowed by this Objective, expressed in mm, and measured at the intermediate image plane. NB: The field of view is influenced by the magnification and diameter of the ocular (eyepiece) field diaphragm, but also by the limits imposed by the design of the Objective.",float with unit:none,,,R,,,,
3,,,ImageDistance,,,,,This field records the distance in air between the rear principal plane of this Objective and the primary Image plane.,float with unit:OpticalDistanceUnit; [default mm],,,R,,,,
3,,,FrontFocalLength,,,,,This field records the distance (f) measured along the optical axis from the front principal plane of this Lens to the front focal plane (F).,float with unit:OpticalDistanceUnit; [default mm],,,,,,,
3,,,BackFocalLength,,,,,This field records the distance (f') measured along the optical axis from the rear principal plane of this Lens to the rear focal plane (F').,float with unit:OpticalDistanceUnit[default mm],,,,,,,
3,,,ParfocalizingDistance,,,,,This field records the distance between the mounting plane of this Objective and the specimen plane.,float with unit:OpticalDistanceUnit; [default mm],,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,OpticsHolder-APE,,,,,,"This element represents a Holder for Filters, Dichroic and other Optical Element that is associated with this Instrument. These Holders come in different arrangements such as Cubes, Sliders, Turrets, and Wheels. While some of these Holders, such as Filter Cubes, might be pre-assebled by the Manufacturer and pruchased as a whole, in the majority of cases they are  assembled on site depending on the needs of the user.",Substitutions:,"FilterCube, FilterTurret, FilterWheel, OpticsTurret",Manufacturer Specs,0 … ∞,,was FilterSet,,Element
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,same,R,LSID
1,,,Name,,,,,A User-defined Name for this component.,,,,,,,,
3,,,Motorized,,,,,This field describes whether this device is Motor (True) or Manually (False) operated.,boolean,,,,,,,
3,,,ResponseTime,,,,,"This field records the time it takes for this Optics Holder to switch from one position to another, according to the Manufacturer.",float with unit:ResponseTimeUnit,,,,,,,
2,,,NrOfSlots,,,,,This field records how many Slots this Optics Holder has.,integer with unit:none,,,R,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",FilterCube,,,,"A Filter Cube is a removable cube-shaped unit that containing the filters and mirror used in epi-fluorescence microscopy to separate fluorescence excitation and emission light. It usually holds a matched set of fluorescence filters, which might include an Excitation filter and Emission filter but always includes a Dichroic mirror. A Filter Cube might be pre-assebled by the Manufacturer and pruchased as a whole or it might be custom assembled on site depending on the needs of the user. ",-,,,-,,FilterSet,-,
1,,,,,ExcitationFilterRef,,,"This field refers to an available Excitation Filter, which is part of this Filter Cube.",Extension of Reference,,Reference,0 ... 1,,ExcitationFilterRef,0 ... ∞,Extension of Ref
1,,,,,StandardDichroicRef,,,"This field refers to an available Dichroic Mirror, which is part of this Filter Cube.",Extension of Reference,,Reference,1,,DichroicRef,0 ... 1,Extension of Ref
1,,,,,EmissionFilterRef,,,"This field refers to an available Emission Filter, which is part of this Filter Cube.",Extension of Reference,,Reference,0 ... 1,,EmissionFilterRef,0 ... ∞,Extension of Ref
2,,,,,OpticsHolderPosition,,,"When relevant, this field records the position of this Filter Cube in a Optics Holder.",string,,,,,,,
e,e,,,,,,,,,,,,,,,
1,,,,FilterCubeTurret,,,,This element represents a circular holder for multiple Filter Cubes.,,,,,,,,
2,,,,,FilterCubeRef,,,"This field refers to an available FilterCube, which is housed in this Optics Holder.",Extension of Reference,,,1 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,FilterWheel-APE,,,,This element represents a circular holder for multiple individual Filters or Dichroics.,,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",ExcitationFilterWheel,,This element represents a circular holder for multiple individual Excitatipm Filters.,,,,,,,,
2,,,,,,,ExcitationFilterRef,"This field refers to an available Excitation Filter, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,DichroicFilterWheel,,This element represents a circular holder for multiple individual Dichroics.,,,,,,,,
2,,,,,,,StandardDichroicRef,"This field refers to an available Dichroic Mirror, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,EmissionFIlterWheel,,This element represents a circular holder for multiple individual Emission Filters.,,,,,,,,
2,,,,,,,EmissionFilterRef,"This field refers to an available Emission Filter, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,FilterSlider,,,,This element represents a linear holder for individual Filers or Dichroic.,,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",ExcitationFilterSlider,,This element represents a linear holder for multiple individual Excitatipm Filters.,,,,,,,,
2,,,,,,,ExcitationFilterRef,"This field refers to an available Excitation Filter, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,DichroicFilterSlider,,This element represents a linear holder for multiple individual Dichroics.,,,,,,,,
2,,,,,,,StandardDichroicRef,"This field refers to an available Dichroic Mirror, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,EmissionFIlterSlider,,This element represents a linear holder for multiple individual Emission Filters.,,,,,,,,
2,,,,,,,EmissionFilterRef,"This field refers to an available Emission Filter, which is part of this Optics Holder.",Extension of Reference,,Reference,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
2,,,,OpticsTurret,,,,This element represents a circular holder for multiple optical elements.,,,,,,,,
2,,,,,OpticalApertureRef,,,"This field refers to an available Optical Aperture, which is housed in this Optics Holder.",Extension of Reference,,,0 … ∞,,,,
2,,,,,FilterRef,,,"This field refers to an available Filter, which is housed in this Optics Holder.",Extension of Reference,,,0 … ∞,,,,
2,,,,,MirroringDeviceRef,,,"This field refers to an available Mirrorig Device, which is housed in this Optics Holder.",Extension of Reference,,,0 … ∞,,,,
2,,,,,LensRef,,,"This field refers to an available Lens, which is housed in this Optics Holder.",Extension of Reference,,,0 … ∞,,,,
2,,,,,PrismRef,,,"This empty element refers to a Prism compoent available for this Instrument and, which is placed in the Light Path for this Image Acquisition.",Extension of Reference,,,0 … ∞,,,,
2,,,,,PolarizationOpticsRef,,,"This field refers to an available Polarization Optics, which is housed in this Optics Holder.",Extension of Reference,,,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,Filter-APE,,,,,,"This element describes an optical Filter positioned in the Light Path for one or more Channels available for this Instrument. An optical Filter is a device designed to selectively control the Wavelengths, color temperature, vibration direction, and/or intensity of the radiation which it transmits or reflects. An Instrument may have several Filters of different types, such as an Excitation, Emission, Neutral Density or an additional Generic Filter positioned in the Light Path for different purposes. For each fluorescence Image there should be at least one Filter element specified per Channel. This element can be associated with an optional Optics Holder, such as a Filter Cube, Filter Turret, Filtr Wheel, or Filter Slider. Note: Filter Holder is not the same as a Filter Set.",-,,Manufacturer Specs,1 ... ∞,,same (became an APE and got specialized),1 ... ∞,-
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,FIlterID,,,R,,same,R,LSID
1,Y,,Type,,,,,This field captures the Type of Filter used in this case.,enum,"Bandpass, BandStop, Multipass, Notch, Longpass, ShortPass, Other",FilterType,R,,same,,enum
2,,,FilterHolderPosition,,,,,"This field records the position of this element in a Filter Holder of any kind, such as a Filter Slider, Turret or Wheel.",integer with unit:none,,,,,was FilterWheel,,string
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,CoatingMethod,,,,,"This field records the type of Coating used in this case. An optical coating is one or more thin layers of material deposited on an optical component such as a Lens, Filter or Mirror, which alters the way in which the optic reflects and transmits light.",enum,"HardCoated, SoftCoated, Other",CoatingMethod,R,,,,
1,Y,,LightPathLocation,,,,,"This field records the location of this component in the Microscope Light Path. The most common positions are: Infinity Space, Camera Port or Illumination Port.",enum,"Infinity space, Camera Port, Illumination port, Other",,R,,,,
2,,,Technology,,,,,"This field records the filtering Technology utilized for this optical element. The main types of technologies used in fluorescence analysis are Absorption (aka colored) glass, Polymer or Thin-film coating.",enum,"Absorption Colored Glass, Metallic-coating, Polymer-Based, Thin-film interference-coating,  Other
",FilterTechnologyType,,,,,
2,,,AttenuationMethod,,,,,This field records the mean by which this optical element achieves out-of-band transmission attenuation.,enum,"Absorption, Reflection, Refraction, Other",AttenuationMethodType,R,,,,
3,,,AttenuationCoefficient,,,,,"This field records the Attenuation Coefficient (AC) of this optical element. The AC (aka blocking coefficient) is a material property that characterizes the degree to which light is being blocked (i.e., scattered or absorbed) by it. AC is used as a measure of the out-of-band blocking of an optical Lens, Filter, Dichroic mirror over an extended range of the spectrum. AC is often reported in units of optical density (OD), whereas OD= -log10(T), and T=Transmittance (0≤T≤1).",float with unit:none,,,,,,,
3,,,Diameter,,,,,This field describes the Diameter of this optical element.,float with unit:DiameterUnit [default mm],,,,,,,
3,,,Thickness,,,,,This field describes the Thickness of this optical element.,float with unit:ThicknessUnit,,,,,,,
3,,,AngleOfIncidence,,,,,"This field records the optimal angle of incidence (AOI) for this Filter. The AOI is the angle between the optical axis of the incident light and the axis normal to the surface of the Mirror. In specular reflection, AOI is by definition equal to the Angle Of Reflection (AOR).",float with unit:AngleOfIncidenceUnit,,,,,,,
3,,,Polarization,,,,,"This field records the polarization effect of this optical element. Any thin-film interference Coating that is used at non-normal angles-of-incidence will cause some amount of polarization, the precise effect varying greatly with wavelength and with the particular Coating design.",enum,"Circular, Elliptical, Planar, Other",FilterPolarizationType,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
e,e,,,,,,,,,,,,,,,
1,Y,,TransmittanceRange,,,,,This element records the Range (also known as Band) of Wavelengths that are transmitted by this optical component. It also records the maximum amount of light transmitted. Multiple of these elements can be used.,Element,,,1 ... ∞,,same,0 ... 1,Element
1,Y,,,Wavelength,,,,"This field records the key Wavelength] that characterizes this Transmittance Range (also known as Transmission band). In the case of Bandpass, Bandstop, Multipass or Notch Filters, Wavelength often refers to the Central Wavelength of each of the transmission band(s); alternatively, in case of a Longpass or a Shortpass Filters, Wavelength refers to the CutOn Wavelength (i.e., below which there is less than 50% transmittance) or the CutOff Wavelengths (i.e., above which there is less than 50% transmittance) respectively. In the case of Dichroics, Wavelength most commonly refers to the Edge Wavelength which might be either the CutOn or the CutOff Wavelength depending on individual cases.",positiveFloat with unit:WavelengthUnit,,,R,,was CutIn,,
2,,,,Transmittance,,,,"This field records the maximum amount of light this optical component is capable of transmitting in this Wavelength Range, at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.",percentFraction with unit:none,,,,,same,,
,,,,removed OME field(s),,,,,,,,,,CutInTolerance,,nonNegativeFloat
,,,,,,,,,,,,,,CutOut,,positiveFloat
,,,,,,,,,,,,,,CutOutTolerance,,nonNegativeFloat
1,Y,,,FWHMBandwidth,,,,"This field records the width of this Transmittance Range (also known as Transmission band). Specifically, the Full Width at Half Maximum (FWHM) represents the bandwidth of the Wavelength spectrum curve measured between those points whose transmission amplitude is 50% of the maximum. In case bandwidth is not available, such as in the case of a LongPass, Notch or ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,,R,,,,
e,e,,,,,,,,,,,,,,,
3,,,TransmittanceProfileFile,,,,,This element represents a file in .csv or other suitable formats containing the Transmittance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
